0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:44 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:51 +0900] "POST /myapp/member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:51 +0900] "GET /myapp/ HTTP/1.1" 200 14819
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:57 +0900] "GET /myapp/member/list.do HTTP/1.1" 200 10774
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:57 +0900] "GET /myapp/resources/imgs/update.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:57 +0900] "GET /myapp/resources/imgs/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:04 +0900] "GET /myapp/member/adminDelete.do?userid=hong HTTP/1.1" 200 9131
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:06 +0900] "GET /myapp/member/adminDelete.do?userid=hong HTTP/1.1" 200 9131
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:09 +0900] "GET /myapp/member/list.do HTTP/1.1" 200 9983
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:17 +0900] "GET /myapp/member/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:18 +0900] "GET /myapp/ HTTP/1.1" 200 14626
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:20 +0900] "GET /myapp/member/agreement.do HTTP/1.1" 200 32971
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:24 +0900] "GET /myapp/member/joinForm.do HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:26 +0900] "POST /myapp/member/idCheck.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:17:26 +0900] "POST /myapp/member/idCheck.do HTTP/1.1" 405 802
